"","Classification","Year","Period","Period_Desc_","Aggregate_Level","Is_Leaf_Code","Trade_Flow_Code","Trade_Flow","Reporter_Code","Reporter","Reporter_ISO","Partner_Code","Partner","Partner_ISO","X2nd_Partner_Code","X2nd_Partner","X2nd_Partner_ISO","Customs_Proc__Code","Customs","Mode_of_Transport_Code","Mode_of_Transport","Commodity_Code","Commodity","Qty_Unit_Code","Qty_Unit","Qty","Alt_Qty_Unit_Code","Alt_Qty_Unit","Alt_Qty","Netweight__kg_","Gross_weight__kg_","Trade_Value__US__","CIF_Trade_Value__US__","FOB_Trade_Value__US__","Flag"
"49","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",818,"Egypt","EGY",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,24219628,NA,24219628,NA,7961612,NA,NA,0
"50","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,20509088862,NA,20509088862,NA,5882929283,NA,NA,0
"51","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",56,"Belgium","BEL",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,3279671183,NA,3279671183,NA,782627018,NA,NA,0
"52","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,5966649303,NA,5966649303,NA,1580096399,NA,NA,0
"53","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",300,"Greece","GRC",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,283614019,NA,283614019,NA,96799143,NA,NA,0
"54","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,2146715114,NA,2146715114,NA,609366043,NA,NA,0
"55","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",410,"Rep. of Korea","KOR",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,59260100,NA,59260100,NA,11958761,NA,NA,0
"56","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",528,"Netherlands","NLD",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,16452181,NA,16452181,NA,4201515,NA,NA,0
"57","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",620,"Portugal","PRT",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,24324559,NA,24324559,NA,6703084,NA,NA,0
"58","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",670,"Saint Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,62918571,NA,62918571,NA,21698786,NA,NA,0
"59","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",716,"Zimbabwe","ZWE",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,17471765,NA,17471765,NA,4046876,NA,NA,0
"60","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,3212651257,NA,3212651257,NA,908463749,NA,NA,0
"61","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",792,"Turkey","TUR",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,2978093714,NA,2978093714,NA,883818298,NA,NA,0
"62","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",818,"Egypt","EGY",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,59960068,NA,59960068,NA,16692481,NA,NA,0
"63","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",826,"United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,217068201,NA,217068201,NA,112330105,NA,NA,0
"64","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",842,"USA","USA",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,2184238826,NA,2184238826,NA,844127025,NA,NA,0
"65","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,42385213723,NA,42385213723,NA,7637800796,NA,NA,0
"66","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,946525323,NA,946525323,NA,274345616,NA,NA,0
"67","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,25609310336,NA,25609310336,NA,4832679956,NA,NA,0
"68","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",528,"Netherlands","NLD",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,1828317600,NA,1828317600,NA,365324506,NA,NA,0
"69","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",620,"Portugal","PRT",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,2647595376,NA,2647595376,NA,469247777,NA,NA,0
"70","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",705,"Slovenia","SVN",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,147320288,NA,147320288,NA,31801205,NA,NA,0
"71","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,10132986304,NA,10132986304,NA,1607365229,NA,NA,0
"72","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",788,"Tunisia","TUN",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,1073158496,NA,1073158496,NA,57036507,NA,NA,0
