"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"114","Belgium:BEL","France:FRA",4072007158,8343502515,"BEL","FRA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"115","Belgium:BEL","Germany:DEU",449133533,920270180,"BEL","DEU","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"116","Belgium:BEL","Luxembourg:LUX",135891414,278440168,"BEL","LUX","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"117","Belgium:BEL","Netherlands:NLD",703321360,1441098532,"BEL","NLD","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"118","Belgium:BEL","United Kingdom:GBR",48949204,100296437,"BEL","GBR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"119","Belgium:BEL","Brazil:BRA",24099746,64127114,"BEL","BRA","Natural gas, liquefied",2010
"120","Belgium:BEL","Japan:JPN",24894316,66241389,"BEL","JPN","Natural gas, liquefied",2010
"121","Belgium:BEL","Kuwait:KWT",42297466,112549504,"BEL","KWT","Natural gas, liquefied",2010
"122","Belgium:BEL","Norway:NOR",985962,2623551,"BEL","NOR","Natural gas, liquefied",2010
"123","Belgium:BEL","Turkey:TUR",19330484,51436567,"BEL","TUR","Natural gas, liquefied",2010
"124","Belgium:BEL","France:FRA",3684737889,7002853442,"BEL","FRA","Natural gas, in gaseous state",2010
"125","Belgium:BEL","Germany:DEU",880687505,1673748776,"BEL","DEU","Natural gas, in gaseous state",2010
"126","Belgium:BEL","Luxembourg:LUX",158341443,300928303,"BEL","LUX","Natural gas, in gaseous state",2010
"127","Belgium:BEL","Netherlands:NLD",1130507012,2148531364,"BEL","NLD","Natural gas, in gaseous state",2010
"128","Belgium:BEL","United Kingdom:GBR",351520377,668065343,"BEL","GBR","Natural gas, in gaseous state",2010
"129","Belgium:BEL","France:FRA",4609528236,23946789469,"BEL","FRA","Natural gas, in gaseous state",2005
"130","Belgium:BEL","Germany:DEU",140100853,727832755,"BEL","DEU","Natural gas, in gaseous state",2005
"131","Belgium:BEL","Luxembourg:LUX",211531189,1098917848,"BEL","LUX","Natural gas, in gaseous state",2005
"132","Belgium:BEL","Netherlands:NLD",595061594,3091382452,"BEL","NLD","Natural gas, in gaseous state",2005
"133","Belgium:BEL","United Kingdom:GBR",812533510,4221162752,"BEL","GBR","Natural gas, in gaseous state",2005
"134","Bolivia (Plurinational State of):BOL","Argentina:ARG",1367747360,4406412825,"BOL","ARG","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
